Estacion,Anio,Mes,Precip,Tmax,Tmin,SO_2,CO,NOx,COV,PM_010,PM_2_5,NH_3,Radiacion_Estimada,temp_lag1,radiacion_lag1,target_lluvia
acolman,1983,1,17.9,19.64516129032258,1.6612903225806452,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,2.8774193548387097,19.64516129032258,2.8774193548387097,1
acolman,1983,2,6.9,21.375,-0.5,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,3.5,19.64516129032258,2.8774193548387097,1
acolman,1983,3,6.699999999999999,24.725806451612904,1.6612903225806452,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,3.690322580645162,21.375,3.5,1
acolman,1983,4,0.0,28.266666666666666,6.116666666666666,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,3.544,24.725806451612904,3.690322580645162,0
acolman,1983,5,13.899999999999999,29.43548387096774,10.129032258064516,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,3.089032258064516,28.266666666666666,3.544,1
acolman,1983,6,39.1,27.566666666666666,10.416666666666666,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,2.7439999999999998,29.43548387096774,3.089032258064516,1
acolman,1983,7,227.6,23.903225806451612,11.112903225806452,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,2.0464516129032257,27.566666666666666,2.7439999999999998,1
acolman,1983,8,88.0,24.161290322580644,10.129032258064516,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,2.2451612903225806,23.903225806451612,2.0464516129032257,1
acolman,1983,10,73.8,23.35483870967742,5.387096774193548,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,2.8748387096774195,24.161290322580644,2.2451612903225806,1
acolman,1983,11,9.3,23.966666666666665,1.4833333333333334,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,3.597333333333333,23.35483870967742,2.8748387096774195,1
acolman,1986,1,0.30000000000000004,19.5,-0.46774193548387094,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,3.19483870967742,23.966666666666665,3.597333333333333,1
acolman,1986,2,0.0,23.428571428571427,1.6071428571428572,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,3.491428571428571,19.5,3.19483870967742,0
acolman,1986,3,0.0,24.322580645161292,1.1774193548387097,167.17716336142786,979.1710720128904,301.8633591863892,1032.544628267275,107.64594930589985,70.7926378284581,107.6511875309866,3.7032258064516133,23.428571428571427,3.491428571428571,0
